Designator,Mid X,Mid Y,Rotation,Layer
C1,163.4,-115.8,90.0,top
C10,170.0,-96.2,0.0,top
C2,159.4,-115.0,0.0,top
C3,166.6,-100.8,270.0,top
C4,171.4,-105.2,180.0,top
C8,170.6,-102.8,180.0,top
C9,173.8,-87.8,0.0,top
F1,169.4,-85.3125,270.0,top
FB1,172.35,-73.6,0.0,top
R1,149.1,-107.35,90.0,top
R5,159.0,-79.0,180.0,top
R6,168.0,-79.0,0.0,top
SW2,151.75,-115.1,270.0,top
U1,170.0,-91.9375,270.0,top
U2,163.8,-108.175,0.0,top
U3,163.0,-89.8625,270.0,top
USB1,163.5125,-65.81125,180.0,top
